             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
      15714056_108 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_109 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_110 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_111 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_112 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_113 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_114 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_115 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_116 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_117 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_118 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_119 sc-loprio collect_ siddhart  R       6:20      1 miso1
      15714056_120 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_121 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_122 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_123 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_124 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_125 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_126 sc-loprio collect_ siddhart  R       6:20      1 miso3
      15714056_127 sc-loprio collect_ siddhart  R       6:20      1 miso3
